Datum;Woche;Zuschlag Belehnung SARON;Zuschlag Belehnung Fest;Zuschlag Tragbarkeit;Mindestlimite;Alle Abschlüsse;Arbeitstage;Fest 10 Jahre Bank;Fest 10 Jahre Konkurrenz (Min);Zinsvorteil Fest 10 Jahre;Fest 5 Jahre;Fest 5 Jahre Konkurrenz (Min);Zinsvorteil Fest 5 Jahre;Zinskurve;Price to Rent Ratio;Transaktionspreisindex Einfamilienhäuser;SARON 3 Jahre Bank;Aufpreis 10J - 3J SARON;Mietpreisindex;Konsumklima Index;Transaktionspreisindex Eigentumswohnung
01.01.02;1;0;0;0;0;10;7.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.54;101.5;-27;228.15
08.01.02;2;0;0;0;0;24;7.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.61;101.5;-27;228.15
15.01.02;3;0;0;0;0;91;7.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.58;101.5;-27;228.15
22.01.02;4;0;0;0;0;88;7.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.31;101.5;-27;228.15
29.01.02;5;0;0;0;0;58;7.175;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.64;101.5;-27;228.15
05.02.02;6;0;0;0;0;97;9.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.78;101.9;-27;228.15
12.02.02;7;0;0;0;0;69;9.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.78;101.9;-27;228.15
19.02.02;8;0;0;0;0;16;9.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.73;101.9;-27;228.15
26.02.02;9;0;0;0;0;58;9.125;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.66;101.9;-27;228.15
05.03.02;10;0;0;0;0;93;10.975;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.69;101.9;-27;228.15
12.03.02;11;0;0;0;0;35;10.975;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.76;101.9;-27;228.15
19.03.02;12;0;0;0;0;55;10.975;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.83;101.9;-27;228.15
26.03.02;13;0;0;0;0;59;10.975;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;123.77;209.098557;0.55;0.98;101.9;-27;228.15
02.04.02;14;0;0;0;0;62;8.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.21;101.9;-27;231.47
09.04.02;15;0;0;0;0;32;8.15;1.5;1.2;-0.3;0.8;0.7;-0.1;-0.4;125.56;213.6814176;0.55;1.43;101.9;-27;231.47
